127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002401
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/js/typeahead.min.js, HTTP/1.1, 200, 0.001634
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/js/ajax_editor.js, HTTP/1.1, 200, 0.002854
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001592
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/images/files_toggle.png, HTTP/1.1, 200, 0.000666
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001193
127.0.0.1, 2019-08-19 00:37:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/default/edit/lalala/controllers/default.py, HTTP/1.1, 200, 0.018146
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.058285
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.082159
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/images/save_icon.png, HTTP/1.1, 200, 0.000503
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.102293
127.0.0.1, 2019-08-19 00:37:50, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.104425
127.0.0.1, 2019-08-19 00:37:50, GET, /lalala/appadmin/hooks, HTTP/1.1, 200, 0.152677
127.0.0.1, 2019-08-19 00:37:56, POST, /admin/default/edit/lalala/controllers/default.py, HTTP/1.1, 200, 0.008791
127.0.0.1, 2019-08-19 00:38:02, POST, /admin/default/edit/lalala/controllers/default.py, HTTP/1.1, 200, 0.007740
127.0.0.1, 2019-08-19 00:38:18, POST, /admin/default/edit/lalala/controllers/default.py, HTTP/1.1, 200, 0.009874
127.0.0.1, 2019-08-19 00:38:24, POST, /admin/default/edit/lalala/controllers/default.py, HTTP/1.1, 200, 0.008736
127.0.0.1, 2019-08-19 00:38:37, GET, /admin/default/design/lalala, HTTP/1.1, 200, 0.063068
127.0.0.1, 2019-08-19 00:38:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2019-08-19 00:38:44, GET, /admin/default/design/lalala, HTTP/1.1, 200, 0.060944
127.0.0.1, 2019-08-19 00:38:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000193
127.0.0.1, 2019-08-19 00:38:52, GET, /lalala, HTTP/1.1, 200, 0.193773
127.0.0.1, 2019-08-19 00:38:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000466
127.0.0.1, 2019-08-19 00:40:00, GET, /lalala, HTTP/1.1, 200, 0.233795
127.0.0.1, 2019-08-19 00:40:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000489
127.0.0.1, 2019-08-19 00:40:02, GET, /lalala, HTTP/1.1, 200, 0.287441
127.0.0.1, 2019-08-19 00:40:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000443
127.0.0.1, 2019-08-19 00:40:23, GET, /lalala, HTTP/1.1, 200, 0.195033
127.0.0.1, 2019-08-19 00:40:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000474
